$0, $threads, $thru, $rt, $uCGIApplication, $uDBDisk, $uDBP, $uDBS, $uProtocolStack, $uWSDisk, $uWSP, $uWebServer
5, 10, 0.0024767, 20.1661, 0.0134961, 0.00822342, 0.0122138, 0.0123382, 0.0221464, 0.00514085, 0.00746961, 0.00572369
10, 10, 0.0049776, 8.99735, 0.0273218, 0.016608, 0.0244261, 0.0250311, 0.0401136, 0.010293, 0.0149495, 0.0116315
50, 10, 0.0248853, 9.20031, 0.14543, 0.0888038, 0.121889, 0.138145, 0.211963, 0.0516681, 0.0746819, 0.0648364
75, 10, 0.0373145, 9.90491, 0.23643, 0.139331, 0.182567, 0.221815, 0.348285, 0.0776472, 0.111892, 0.10361
100, 10, 0.0497344, 10.6486, 0.33714, 0.194912, 0.24314, 0.317123, 0.49783, 0.103796, 0.149103, 0.146849
125, 10, 0.0621465, 11.344, 0.451604, 0.256186, 0.303391, 0.425956, 0.666745, 0.130031, 0.1862, 0.194571
150, 10, 0.0745479, 12.0934, 0.582144, 0.324136, 0.363314, 0.550718, 0.857939, 0.156365, 0.223196, 0.247291
175, 10, 0.0869371, 12.9096, 0.731696, 0.399862, 0.422833, 0.694312, 1.0742, 0.182794, 0.260079, 0.305046
200, 10, 0.0993125, 13.801, 0.903327, 0.484658, 0.481865, 0.85991, 1.31901, 0.209304, 0.296828, 0.368009
300, 10, 0.148542, 19.5926, 1.97888, 0.975756, 0.721031, 1.874, 2.80181, 0.317632, 0.444137, 0.680705
400, 10, 0.197118, 29.2025, 4.20648, 1.94556, 0.94907, 4.03257, 5.5771, 0.426066, 0.587073, 1.09239
450, 10, 0.21626, 80.7447, 7.54063, 3.39784, 1.05787, 7.31555, 9.22456, 0.474528, 0.648655, 1.31246
500, 10, 0.217368, 300.169, 8.24324, 3.70951, 1.06633, 8.01426, 9.94554, 0.477894, 0.652825, 1.32866
550, 10, 0.217354, 530.533, 8.27781, 3.72489, 1.0665, 8.04741, 9.98437, 0.477766, 0.652656, 1.32803
