$0, $thru, $rt, $uCGIApplication, $uDBDisk, $uDBP, $uDBS, $uProtocolStack, $uWSDisk, $uWSP, $uWebServer
1, 0.000498085, 7.68885, 0.00275546, 0.00163496, 0.00244435, 0.00244435, 0.00333164, 0.00042006, 0.000887264, 0.000451641
5, 0.00248994, 8.08342, 0.0137746, 0.00817321, 0.0122194, 0.0122194, 0.016656, 0.00209989, 0.00443544, 0.00225781
10, 0.00497861, 8.59189, 0.0275423, 0.0163423, 0.0244325, 0.0244325, 0.0333061, 0.0041987, 0.00886862, 0.00451461
50, 0.024834, 13.3708, 0.137373, 0.0815131, 0.121866, 0.121866, 0.166232, 0.0209426, 0.0442346, 0.0225219
75, 0.0371806, 17.1824, 0.205644, 0.122035, 0.182448, 0.182446, 0.248966, 0.0313531, 0.0662213, 0.033719
100, 0.0494589, 21.8856, 0.273504, 0.162326, 0.242684, 0.24268, 0.331301, 0.0417041, 0.0880797, 0.0448511
125, 0.0616412, 27.8589, 0.341588, 0.202358, 0.302538, 0.302545, 0.41246, 0.0519929, 0.109837, 0.0562949
150, 0.0736913, 35.5109, 0.408536, 0.241925, 0.361694, 0.3617, 0.493108, 0.0621596, 0.131322, 0.0673966
175, 0.0855438, 45.7232, 0.474478, 0.28085, 0.41989, 0.4199, 0.572459, 0.0721627, 0.152465, 0.0783539
200, 0.0970956, 59.8067, 0.538831, 0.318794, 0.47662, 0.476635, 0.649808, 0.0819146, 0.173081, 0.0890674
300, 0.134266, 234.322, 0.746565, 0.440935, 0.659238, 0.659277, 0.898784, 0.113316, 0.239496, 0.123791
400, 0.144572, 766.233, 0.804491, 0.475037, 0.710199, 0.710194, 0.967858, 0.122071, 0.257993, 0.133533
450, 0.145836, 1084.93, 0.811617, 0.479236, 0.716472, 0.716463, 0.976338, 0.123148, 0.260267, 0.134734
500, 0.146548, 1411.04, 0.815618, 0.481584, 0.719982, 0.719973, 0.981109, 0.123751, 0.261543, 0.135407
550, 0.146987, 1740.88, 0.818096, 0.483046, 0.722165, 0.722154, 0.984055, 0.124126, 0.262334, 0.135825
