$0, $thru, $rt, $uCGIApplication, $uDBDisk, $uDBP, $uDBS, $uProtocolStack, $uWSDisk, $uWSP, $uWebServer
1, 0.000496904, 12.4611, 0.00274892, 0.00163109, 0.00243856, 0.00243856, 0.00569526, 0.00279041, 0.00325651, 0.00282194
5, 0.00248384, 13.0142, 0.0137412, 0.00815316, 0.0121894, 0.0121894, 0.0284772, 0.0139482, 0.016278, 0.0141061
10, 0.00496588, 13.7425, 0.0274728, 0.0163003, 0.0243697, 0.0243697, 0.056953, 0.0278859, 0.0325438, 0.0282022
50, 0.0247337, 21.5388, 0.136747, 0.081157, 0.121334, 0.121333, 0.284387, 0.138833, 0.162016, 0.140371
75, 0.036958, 29.3474, 0.204251, 0.121287, 0.181328, 0.181324, 0.425448, 0.207453, 0.242081, 0.209659
100, 0.0489835, 41.54, 0.270452, 0.160727, 0.24029, 0.240282, 0.564655, 0.274851, 0.320707, 0.277603
125, 0.0606055, 62.5806, 0.334208, 0.198821, 0.297238, 0.297224, 0.699578, 0.339882, 0.396559, 0.343036
150, 0.0713141, 103.591, 0.392674, 0.233854, 0.349614, 0.3496, 0.824266, 0.399624, 0.466234, 0.403045
175, 0.0796095, 198.857, 0.437648, 0.260863, 0.389998, 0.389991, 0.921272, 0.445631, 0.519892, 0.449227
200, 0.0838324, 386.909, 0.460367, 0.274489, 0.410382, 0.410397, 0.970846, 0.468849, 0.546982, 0.472564
300, 0.0862603, 1480.33, 0.473332, 0.282236, 0.421979, 0.422024, 0.99946, 0.482065, 0.562411, 0.485885
400, 0.086591, 2622.84, 0.475097, 0.283293, 0.42356, 0.423608, 1.00336, 0.483866, 0.564514, 0.487699
450, 0.0866674, 3196.14, 0.475505, 0.283537, 0.423925, 0.423974, 1.00426, 0.484282, 0.564999, 0.488118
500, 0.086718, 3770.1, 0.475779, 0.283703, 0.424174, 0.424223, 1.00485, 0.484564, 0.565328, 0.488399
550, 0.0867572, 4344.26, 0.475988, 0.283828, 0.424361, 0.42441, 1.00532, 0.484778, 0.565577, 0.488614
